period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2020Q2,Apr to Jun 2020,Kisumu County,Muhoroni Sub County,Miwani Ward,5,1,4
2020Q2,Apr to Jun 2020,Mombasa County,Kisauni Sub County,Mjambere Ward,4,4,0
2020Q2,Apr to Jun 2020,Mombasa County,Mvita Sub County,Mji Wa Kale/Makadara Ward,6,0,6
2020Q2,Apr to Jun 2020,Lamu County,Lamu West Sub County,Mkomani Ward,10,1,9
2020Q2,Apr to Jun 2020,Mombasa County,Nyali Sub County,Mkomani Ward,14,0,14
2020Q2,Apr to Jun 2020,Kwale County,Matuga Sub County,Mkongani Ward,82,0,82
2020Q2,Apr to Jun 2020,Lamu County,Lamu West Sub County,Mkunumbi Ward,21,1,20
2020Q2,Apr to Jun 2020,West Pokot County,West Pokot Sub County,Mnagei Ward,55,0,55
2020Q2,Apr to Jun 2020,Kilifi County,Kilifi North Sub County,Mnarani Ward,26,1,25
2020Q2,Apr to Jun 2020,Baringo County,Marigat Sub County,Mochongoi Ward,16,1,15
2020Q2,Apr to Jun 2020,Garissa County,Lagdera Sub County,Modogashe Ward,22,0,22
2020Q2,Apr to Jun 2020,Bomet County,Konoin Sub County,Mogogosiek Ward,39,1,38
2020Q2,Apr to Jun 2020,Narok County,Transmara East Sub County,Mogondo Ward,36,0,36
2020Q2,Apr to Jun 2020,Baringo County,Mogotio Sub County,Mogotio Ward,49,0,49
2020Q2,Apr to Jun 2020,Uasin Gishu County,Soy Sub County,Moi's Bridge Ward,23,0,23
2020Q2,Apr to Jun 2020,Uasin Gishu County,Moiben Sub County,Moiben Ward,37,1,36
2020Q2,Apr to Jun 2020,Elgeyo Marakwet County,Marakwet West Sub County,Moiben/Kuserwo Ward,117,1,116
2020Q2,Apr to Jun 2020,Migori County,Kuria West Sub County,Mokerero Ward,11,0,11
2020Q2,Apr to Jun 2020,Nakuru County,Molo Sub County,Molo Ward,145,1,144
2020Q2,Apr to Jun 2020,Kisii County,Kitutu Chache North Sub County,Monyerero Ward,41,0,41
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado West Sub County,Mosiro Ward,54,2,52
2020Q2,Apr to Jun 2020,Narok County,Narok East Sub County,Mosiro Ward,98,3,95
2020Q2,Apr to Jun 2020,Nakuru County,Rongai Sub County,Mosop Ward,31,0,31
2020Q2,Apr to Jun 2020,Kisii County,South Mugirango Sub County,Moticho Ward,119,87,32
2020Q2,Apr to Jun 2020,Trans Nzoia County,Cherangany Sub County,Motosiet Ward,53,1,52
2020Q2,Apr to Jun 2020,Nairobi County,Westlands Sub County,Mountain View Ward,6,0,6
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi West Sub County,Mowlem Ward,36,2,34
2020Q2,Apr to Jun 2020,Marsabit County,Moyale Sub County,Moyale Township Ward,173,2,171
2020Q2,Apr to Jun 2020,Kilifi County,Kilifi South Sub County,Mtepeni Ward,36,0,36
2020Q2,Apr to Jun 2020,Makueni County,Kibwezi East Sub County,Mtito Andei Ward,66,4,62
2020Q2,Apr to Jun 2020,Mombasa County,Likoni Sub County,Mtongwe Ward,20,7,13
2020Q2,Apr to Jun 2020,Mombasa County,Kisauni Sub County,Mtopanga Ward,4,0,4
2020Q2,Apr to Jun 2020,Machakos County,Machakos Sub County,Mua Ward,8,0,8
2020Q2,Apr to Jun 2020,Kiambu County,Kiambaa Sub County,Muchatha Ward,26,0,26
2020Q2,Apr to Jun 2020,Laikipia County,Laikipia North Sub County,Mugogodo East Ward,57,3,54
2020Q2,Apr to Jun 2020,Laikipia County,Laikipia North Sub County,Mugogodo West Ward,83,4,79
2020Q2,Apr to Jun 2020,Muranga County,Kiharu Sub County,Mugoiri Ward,36,0,36
2020Q2,Apr to Jun 2020,Kiambu County,Kabete Sub County,Muguga Ward,1,0,1
2020Q2,Apr to Jun 2020,Nairobi County,Langata Sub County,Mugumo-ini Ward,30,0,30
2020Q2,Apr to Jun 2020,Muranga County,Gatanga Sub County,Mugumo-ini Ward,11,0,11
2020Q2,Apr to Jun 2020,Nyeri County,Kieni West Sub County,Mugunda Ward,15,0,15
2020Q2,Apr to Jun 2020,Muranga County,Kangema Sub County,Muguru Ward,59,5,54
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Chuka Sub County,Mugwe Ward,36,0,36
2020Q2,Apr to Jun 2020,Kisumu County,Muhoroni Sub County,Muhoroni Koru Ward,53,2,51
2020Q2,Apr to Jun 2020,Vihiga County,Hamisi Sub County,Muhudu Ward,25,0,25
2020Q2,Apr to Jun 2020,Migori County,Nyatike Sub County,Muhuru Ward,38,3,35
2020Q2,Apr to Jun 2020,Kitui County,Mwingi Central Sub County,Mui Ward,15,0,15
2020Q2,Apr to Jun 2020,Makueni County,Kilome Sub County,Mukaa Ward,13,0,13
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Tharaka North Sub County,Mukothima Ward,62,0,62
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga West Sub County,Mukure Ward,34,0,34
2020Q2,Apr to Jun 2020,Nyeri County,Mukurweini Sub County,Mukurwe-ini Central Ward,35,0,35
2020Q2,Apr to Jun 2020,Nyeri County,Mukurweini Sub County,Mukurwe-ini West Ward,6,0,6
2020Q2,Apr to Jun 2020,Baringo County,Marigat Sub County,Mukutani Ward,8,0,8
2020Q2,Apr to Jun 2020,Bungoma County,Kabuchai Sub County,Mukuyuni Ward,92,1,91
2020Q2,Apr to Jun 2020,Kitui County,Kitui Central Sub County,Mulango Ward,30,2,28
2020Q2,Apr to Jun 2020,Baringo County,Koibatek Sub County,Mumberes/Maji Mazuri Ward,7,0,7
2020Q2,Apr to Jun 2020,Machakos County,Machakos Sub County,Mumbuni North Ward,0,0,0
2020Q2,Apr to Jun 2020,Kakamega County,Mumias West Sub County,Mumias Central Ward,98,1,97
2020Q2,Apr to Jun 2020,Kakamega County,Mumias West Sub County,Mumias North Ward,4,0,4
2020Q2,Apr to Jun 2020,Embu County,Mbeere North Sub County,Muminji Ward,17,0,17
2020Q2,Apr to Jun 2020,Kitui County,Mwingi North Sub County,Mumoni Ward,20,1,19
2020Q2,Apr to Jun 2020,Vihiga County,Vihiga Sub County,Mungoma Ward,80,0,80
2020Q2,Apr to Jun 2020,Meru County,Imenti North Sub County,Municipality Ward,35,3,32
2020Q2,Apr to Jun 2020,Muranga County,Kiharu Sub County,Murarandia Ward,7,0,7
2020Q2,Apr to Jun 2020,Kiambu County,Juja Sub County,Murera Ward,7,0,7
2020Q2,Apr to Jun 2020,Kakamega County,Shinyalu Sub County,Murhanda Ward,52,0,52
2020Q2,Apr to Jun 2020,Nakuru County,Gilgil Sub County,Murindati Ward,20,0,20
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga South Sub County,Murinduko Ward,22,1,21
2020Q2,Apr to Jun 2020,Muranga County,Kandara Sub County,Muruka Ward,20,0,20
2020Q2,Apr to Jun 2020,Nyandarua County,Kinangop Sub County,Murungaru Ward,19,0,19
2020Q2,Apr to Jun 2020,Kakamega County,Mumias West Sub County,Musanda Ward,37,0,37
2020Q2,Apr to Jun 2020,Bungoma County,Kanduyi Sub County,Musikoma Ward,17,0,17
2020Q2,Apr to Jun 2020,Bomet County,Bomet Central Sub County,Mutarakwa Ward,47,1,46
2020Q2,Apr to Jun 2020,Kitui County,Kitui South Sub County,Mutha Ward,37,2,35
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Muthambi Sub County,Muthambi Ward,63,0,63
2020Q2,Apr to Jun 2020,Meru County,Tigania East Sub County,Muthara Ward,37,2,35
2020Q2,Apr to Jun 2020,Machakos County,Masinga Sub County,Muthesya Ward,20,0,20
2020Q2,Apr to Jun 2020,Machakos County,Mwala Sub County,Muthetheni Ward,17,1,16
2020Q2,Apr to Jun 2020,Muranga County,Kigumo Sub County,Muthithi Ward,7,0,7
2020Q2,Apr to Jun 2020,Machakos County,Athi River Sub County,Muthwani Ward,2,0,2
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga Central Sub County,Mutira Ward,12,0,12
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Mutithi Ward,31,0,31
2020Q2,Apr to Jun 2020,Kitui County,Kitui East Sub County,Mutitu/Kaliku Ward,16,1,15
2020Q2,Apr to Jun 2020,Machakos County,Machakos Sub County,Mutituni Ward,36,1,35
2020Q2,Apr to Jun 2020,Kitui County,Kitui South Sub County,Mutomo Ward,47,1,46
2020Q2,Apr to Jun 2020,Kitui County,Kitui West Sub County,Mutongoni Ward,62,0,62
2020Q2,Apr to Jun 2020,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,124,1,123
2020Q2,Apr to Jun 2020,Makueni County,Makueni Sub County,Muvau/Kikumini Ward,20,0,20
2020Q2,Apr to Jun 2020,Machakos County,Machakos Sub County,Muvuti/Kiima-kimwe Ward,16,0,16
2020Q2,Apr to Jun 2020,Mombasa County,Kisauni Sub County,Mwakirunge Ward,20,2,18
2020Q2,Apr to Jun 2020,Kilifi County,Kaloleni Sub County,Mwanamwinga Ward,15,0,15
2020Q2,Apr to Jun 2020,Taita Taveta County,Wundanyi Sub County,Mwanda/Mgange Ward,7,0,7
2020Q2,Apr to Jun 2020,Meru County,Imenti Central Sub County,Mwangathia Ward,121,1,120
2020Q2,Apr to Jun 2020,Kilifi County,Kilifi South Sub County,Mwarakaya Ward,58,0,58
2020Q2,Apr to Jun 2020,Taita Taveta County,Mwatate Sub County,Mwatate Ward,10,0,10
2020Q2,Apr to Jun 2020,Kwale County,Kinango Sub County,Mwavumbo Ward,69,1,68
2020Q2,Apr to Jun 2020,Kilifi County,Rabai Sub County,Mwawesa Ward,2,1,1
2020Q2,Apr to Jun 2020,Embu County,Mbeere South Sub County,Mwea Ward,22,0,22
2020Q2,Apr to Jun 2020,Nyeri County,Kieni West Sub County,Mweiga Ward,4,0,4
2020Q2,Apr to Jun 2020,Kwale County,Lunga Lunga Sub County,Mwereni Ward,130,2,128
2020Q2,Apr to Jun 2020,Vihiga County,Luanda Sub County,Mwibona Ward,13,0,13
2020Q2,Apr to Jun 2020,Kiambu County,Ruiru Sub County,Mwihoko Ward,3,0,3
2020Q2,Apr to Jun 2020,Nairobi County,Kasarani Sub County,Mwiki Ward,2,0,2
2020Q2,Apr to Jun 2020,Kiambu County,Ruiru Sub County,Mwiki Ward,9,0,9
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Mwimbi Sub County,Mwimbi Ward,115,3,112
2020Q2,Apr to Jun 2020,Nyeri County,Kieni West Sub County,Mwiyogo/Endarasha Ward,27,0,27
2020Q2,Apr to Jun 2020,Meru County,Igembe North Sub County,Naathu Ward,2,0,2
2020Q2,Apr to Jun 2020,Trans Nzoia County,Kiminini Sub County,Nabiswa Ward,147,2,145
2020Q2,Apr to Jun 2020,Samburu County,Samburu North Sub County,Nachola Ward,26,0,26
2020Q2,Apr to Jun 2020,Kiambu County,Kikuyu Sub County,Nachu Ward,36,2,34
2020Q2,Apr to Jun 2020,Narok County,Narok West Sub County,Naikarra Ward,177,11,166
2020Q2,Apr to Jun 2020,Nairobi County,Starehe Sub County,Nairobi Central Ward,4,0,4
2020Q2,Apr to Jun 2020,Nairobi County,Starehe Sub County,Nairobi South Ward,40,2,38
2020Q2,Apr to Jun 2020,Nairobi County,Langata Sub County,Nairobi West Ward,0,0,0
2020Q2,Apr to Jun 2020,Bungoma County,Tongaren Sub County,Naitiri/Kabuyefwe Ward,53,3,50
2020Q2,Apr to Jun 2020,Nakuru County,Naivasha Sub County,Naivasha East Ward,9,0,9
2020Q2,Apr to Jun 2020,Turkana County,Turkana West Sub County,Nakalale Ward,31,0,31
2020Q2,Apr to Jun 2020,Nakuru County,Nakuru East Sub County,Nakuru East Ward,106,9,97
2020Q2,Apr to Jun 2020,Kakamega County,Matungu Sub County,Namamali Ward,103,0,103
2020Q2,Apr to Jun 2020,Busia County,Nambale Sub County,Nambale Ward,46,1,45
2020Q2,Apr to Jun 2020,Busia County,Samia Sub County,Namboboto-nambuku Ward,28,1,27
2020Q2,Apr to Jun 2020,Bungoma County,Sirisia Sub County,Namwela Ward,41,0,41
2020Q2,Apr to Jun 2020,Turkana County,Turkana West Sub County,Nanaam Ward,17,0,17
2020Q2,Apr to Jun 2020,Nandi County,Nandi Hills Sub County,Nandi Hills Ward,111,0,111
2020Q2,Apr to Jun 2020,Busia County,Samia Sub County,Nangina Ward,19,0,19
2020Q2,Apr to Jun 2020,Garissa County,Fafi Sub County,Nanighi Ward,0,0,0
2020Q2,Apr to Jun 2020,Laikipia County,Laikipia East Sub County,Nanyuki Ward,49,0,49
2020Q2,Apr to Jun 2020,Narok County,Narok North Sub County,Narok Town Ward,94,3,91
2020Q2,Apr to Jun 2020,Nyeri County,Kieni East Sub County,Naromoru/Kiamathaga Ward,38,1,37
2020Q2,Apr to Jun 2020,Machakos County,Yatta Sub County,Ndalani Ward,34,0,34
2020Q2,Apr to Jun 2020,Nandi County,Mosop Sub County,Ndalat Ward,18,1,17
2020Q2,Apr to Jun 2020,Bungoma County,Tongaren Sub County,Ndalu Ward,26,1,25
2020Q2,Apr to Jun 2020,Bomet County,Sotik Sub County,Ndanai/Abosi Ward,89,5,84
2020Q2,Apr to Jun 2020,Bomet County,Bomet Central Sub County,Ndaraweta Ward,25,0,25
2020Q2,Apr to Jun 2020,Kiambu County,Gatundu South Sub County,Ndarugu Ward,17,0,17
2020Q2,Apr to Jun 2020,Kwale County,Kinango Sub County,Ndavaya Ward,102,1,101
2020Q2,Apr to Jun 2020,Kiambu County,Limuru Sub County,Ndeiya Ward,41,0,41
2020Q2,Apr to Jun 2020,Kiambu County,Kiambaa Sub County,Ndenderu Ward,27,0,27
2020Q2,Apr to Jun 2020,Machakos County,Masinga Sub County,Ndithini Ward,18,1,17
2020Q2,Apr to Jun 2020,Bungoma County,Webuye East Sub County,Ndivisi Ward,104,1,103
2020Q2,Apr to Jun 2020,Samburu County,Samburu North Sub County,Ndoto Ward,36,0,36
2020Q2,Apr to Jun 2020,Kiambu County,Kiambu Town Sub County,Ndumberi Ward,3,0,3
2020Q2,Apr to Jun 2020,Mandera County,Mandera East Sub County,Neboi Ward,21,0,21
2020Q2,Apr to Jun 2020,Nakuru County,Njoro Sub County,Nessuit Ward,38,1,37
2020Q2,Apr to Jun 2020,Muranga County,Kandara Sub County,Ng'araria Ward,5,1,4
2020Q2,Apr to Jun 2020,Nairobi County,Dagoretti South Sub County,Ngando Ward,18,0,18
2020Q2,Apr to Jun 2020,Nairobi County,Starehe Sub County,Ngara Ward,14,0,14
2020Q2,Apr to Jun 2020,Isiolo County,Isiolo Sub County,Ngare Mara Ward,10,0,10
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga East Sub County,Ngariama Ward,5,0,5
2020Q2,Apr to Jun 2020,Kiambu County,Limuru Sub County,Ngecha Tigoni Ward,30,0,30
2020Q2,Apr to Jun 2020,Nairobi County,Mathare Sub County,Ngei Ward,41,0,41
2020Q2,Apr to Jun 2020,Kiambu County,Gatundu South Sub County,Ngenda Ward,11,0,11
2020Q2,Apr to Jun 2020,Uasin Gishu County,Turbo Sub County,Ngenyilel Ward,15,0,15
2020Q2,Apr to Jun 2020,Uasin Gishu County,Kapseret Sub County,Ngeria Ward,8,0,8
2020Q2,Apr to Jun 2020,Kiambu County,Githunguri Sub County,Ngewa Ward,25,0,25
2020Q2,Apr to Jun 2020,Embu County,Manyatta Sub County,Nginda Ward,28,0,28
2020Q2,Apr to Jun 2020,Muranga County,Muranga South Sub County,Nginda Ward,29,0,29
2020Q2,Apr to Jun 2020,Laikipia County,Laikipia East Sub County,Ngobit Ward,28,0,28
2020Q2,Apr to Jun 2020,Taita Taveta County,Voi Sub County,Ngolia Ward,5,0,5
2020Q2,Apr to Jun 2020,Kiambu County,Thika Town Sub County,Ngoliba Ward,24,0,24
2020Q2,Apr to Jun 2020,Kitui County,Mwingi North Sub County,Ngomeni Ward,19,1,18
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado North Sub County,Ngong Ward,38,0,38
2020Q2,Apr to Jun 2020,Kitui County,Mwingi Central Sub County,Nguni Ward,37,2,35
2020Q2,Apr to Jun 2020,Makueni County,Kibwezi West Sub County,Nguu/Masumba Ward,17,2,15
2020Q2,Apr to Jun 2020,Makueni County,Kibwezi West Sub County,Nguumo Ward,33,1,32
2020Q2,Apr to Jun 2020,Kitui County,Mwingi West Sub County,Nguutani Ward,14,0,14
2020Q2,Apr to Jun 2020,Nyandarua County,Kinangop Sub County,Njabani/Kiburu Ward,17,0,17
2020Q2,Apr to Jun 2020,Meru County,Igembe Central Sub County,Njia Ward,21,0,21
2020Q2,Apr to Jun 2020,Nairobi County,Kasarani Sub County,Njiru Ward,68,1,67
2020Q2,Apr to Jun 2020,Nakuru County,Njoro Sub County,Njoro Ward,131,0,131
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga East Sub County,Njukiine Ward,5,0,5
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado North Sub County,Nkaimurunya Ward,61,0,61
2020Q2,Apr to Jun 2020,Narok County,Narok North Sub County,Nkareta Ward,23,5,18
2020Q2,Apr to Jun 2020,Meru County,Tigania West Sub County,Nkomo Ward,51,0,51
2020Q2,Apr to Jun 2020,Tharaka Nithi County,Tharaka South Sub County,Nkondi Ward,11,0,11
2020Q2,Apr to Jun 2020,Meru County,Imenti South Sub County,Nkuene Ward,64,2,62
2020Q2,Apr to Jun 2020,Siaya County,Alego Usonga Sub County,North Alego Ward,57,6,51
2020Q2,Apr to Jun 2020,Vihiga County,Emuhaya Sub County,North East Bunyore Ward,33,0,33
2020Q2,Apr to Jun 2020,Siaya County,Gem Sub County,North Gem Ward,41,1,40
2020Q2,Apr to Jun 2020,Marsabit County,North Horr Sub County,North Horr Ward,11,0,11
2020Q2,Apr to Jun 2020,Migori County,Nyatike Sub County,North Kadem Ward,43,0,43
2020Q2,Apr to Jun 2020,Migori County,Rongo Sub County,North Kamagambo Ward,36,2,34
2020Q2,Apr to Jun 2020,Migori County,Uriri Sub County,North Kanyamkago Ward,63,3,60
2020Q2,Apr to Jun 2020,Homa Bay County,Karachuonyo Sub County,North Karachuonyo Ward,44,4,40
2020Q2,Apr to Jun 2020,Nyandarua County,Kinangop Sub County,North Kinangop Ward,23,0,23
2020Q2,Apr to Jun 2020,Vihiga County,Sabatia Sub County,North Maragoli Ward,17,0,17
2020Q2,Apr to Jun 2020,Kisumu County,Nyakach Sub County,North Nyakach Ward,48,3,45
2020Q2,Apr to Jun 2020,Siaya County,Bondo Sub County,North Sakwa Ward,49,6,43
2020Q2,Apr to Jun 2020,Migori County,Awendo Sub County,North Sakwa Ward,47,3,44
2020Q2,Apr to Jun 2020,Kisumu County,Seme Sub County,North Seme Ward,18,0,18
2020Q2,Apr to Jun 2020,Siaya County,Ugenya Sub County,North Ugenya Ward,70,0,70
2020Q2,Apr to Jun 2020,Siaya County,Rarieda Sub County,North Uyoma Ward,55,1,54
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu West Sub County,North West Kisumu Ward,74,2,72
2020Q2,Apr to Jun 2020,Embu County,Mbeere North Sub County,Nthawa Ward,62,0,62
2020Q2,Apr to Jun 2020,Meru County,Imenti North Sub County,Ntima East Ward,21,0,21
2020Q2,Apr to Jun 2020,Meru County,Imenti North Sub County,Ntima West Ward,0,0,0
2020Q2,Apr to Jun 2020,Migori County,Kuria East Sub County,Ntimaru East Ward,24,0,24
2020Q2,Apr to Jun 2020,Migori County,Kuria East Sub County,Ntimaru West Ward,69,1,68
2020Q2,Apr to Jun 2020,Meru County,Igembe North Sub County,Ntunene Ward,102,0,102
2020Q2,Apr to Jun 2020,Kitui County,Mwingi Central Sub County,Nuu Ward,23,0,23
2020Q2,Apr to Jun 2020,Migori County,Kuria East Sub County,Nyabasi East Ward,40,0,40
2020Q2,Apr to Jun 2020,Migori County,Kuria East Sub County,Nyabasi West Ward,41,2,39
2020Q2,Apr to Jun 2020,Kisii County,Bobasi Sub County,Nyacheki Ward,35,1,34
2020Q2,Apr to Jun 2020,Kiambu County,Kabete Sub County,Nyadhuna Ward,31,0,31
2020Q2,Apr to Jun 2020,Meru County,Imenti North Sub County,Nyaki East Ward,182,77,105
2020Q2,Apr to Jun 2020,Meru County,Imenti North Sub County,Nyaki West Ward,7,0,7
2020Q2,Apr to Jun 2020,Nyandarua County,Kinangop Sub County,Nyakio Ward,28,1,27
2020Q2,Apr to Jun 2020,Kisii County,Kitutu Chache South Sub County,Nyakoe Ward,18,1,17
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu East Sub County,Nyalenda A Ward,9,1,8
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu Central Sub County,Nyalenda B Ward,16,1,15
2020Q2,Apr to Jun 2020,Nyamira County,Nyamira Sub County,Nyamaiya Ward,19,1,18
2020Q2,Apr to Jun 2020,Kisii County,Nyaribari Masaba Sub County,Nyamasibi Ward,39,0,39
2020Q2,Apr to Jun 2020,Kiambu County,Lari Sub County,Nyanduma Ward,23,0,23
2020Q2,Apr to Jun 2020,Kirinyaga County,Kirinyaga South Sub County,Nyangati Ward,59,0,59
2020Q2,Apr to Jun 2020,Bomet County,Chepalungu Sub County,Nyangores Ward,15,1,14
2020Q2,Apr to Jun 2020,Migori County,Kuria West Sub County,Nyanmosense/Komosoko Ward,45,1,44
2020Q2,Apr to Jun 2020,Nyamira County,Borabu Sub County,Nyansiongo Ward,58,4,54
2020Q2,Apr to Jun 2020,Kisii County,Kitutu Chache South Sub County,Nyatieko Ward,1,0,1
2020Q2,Apr to Jun 2020,Nairobi County,Langata Sub County,Nyayo Highrise Ward,33,0,33
2020Q2,Apr to Jun 2020,Samburu County,Samburu North Sub County,Nyiro Ward,36,1,35
2020Q2,Apr to Jun 2020,Nakuru County,Kuresoi North Sub County,Nyota Ward,73,0,73
2020Q2,Apr to Jun 2020,Kitui County,Kitui East Sub County,Nzambani Ward,12,0,12
2020Q2,Apr to Jun 2020,Makueni County,Makueni Sub County,Nzaui/Kilili/Kalamba Ward,27,0,27
2020Q2,Apr to Jun 2020,Kakamega County,Likuyani Sub County,Nzoia Ward,82,2,80
2020Q2,Apr to Jun 2020,Marsabit County,Moyale Sub County,Obbu Ward,0,0,0
2020Q2,Apr to Jun 2020,Nandi County,Nandi Hills Sub County,Ol'lessos Ward,30,1,29
2020Q2,Apr to Jun 2020,Laikipia County,Laikipia West Sub County,Ol-moran Ward,81,1,80
2020Q2,Apr to Jun 2020,Isiolo County,Isiolo Sub County,Oldo/Nyiro Ward,49,2,47
2020Q2,Apr to Jun 2020,Nakuru County,Naivasha Sub County,Olkaria Ward,9,0,9
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado North Sub County,Olkeri Ward,7,0,7
2020Q2,Apr to Jun 2020,Narok County,Narok North Sub County,Olokurto Ward,43,0,43
2020Q2,Apr to Jun 2020,Narok County,Transmara East Sub County,Ololmasani Ward,100,0,100
2020Q2,Apr to Jun 2020,Narok County,Narok South Sub County,Ololulung'a Ward,150,3,147
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado North Sub County,Oloolua Ward,10,0,10
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado East Sub County,Oloosirkon/Sholinke Ward,47,0,47
2020Q2,Apr to Jun 2020,Narok County,Narok North Sub County,Olorropil Ward,62,23,39
2020Q2,Apr to Jun 2020,Narok County,Narok North Sub County,Olposimoru Ward,4,0,4
2020Q2,Apr to Jun 2020,Kisumu County,Muhoroni Sub County,Ombeyi Ward,83,2,81
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado North Sub County,Ongata Rongai Ward,9,0,9
2020Q2,Apr to Jun 2020,Nairobi County,Starehe Sub County,Pangani Ward,40,7,33
2020Q2,Apr to Jun 2020,Nairobi County,Westlands Sub County,Parklands/Highridge Ward,20,0,20
2020Q2,Apr to Jun 2020,Nairobi County,Embakasi South Sub County,Pipeline Ward,26,7,19
2020Q2,Apr to Jun 2020,Kwale County,Lunga Lunga Sub County,Pongwe/Kikokeni Ward,124,0,124
2020Q2,Apr to Jun 2020,Samburu County,Samburu Central Sub County,Porro Ward,128,91,37
2020Q2,Apr to Jun 2020,Mombasa County,Changamwe Sub County,Port Reitz Ward,1,0,1
2020Q2,Apr to Jun 2020,Kwale County,Kinango Sub County,Puma Ward,87,2,85
2020Q2,Apr to Jun 2020,Nairobi County,Kamukunji Sub County,Pumwani Ward,64,0,64
2020Q2,Apr to Jun 2020,Kajiado County,Kajiado Central Sub County,Purko Ward,12,0,12
2020Q2,Apr to Jun 2020,Kilifi County,Rabai Sub County,Rabai/Kisurutini Ward,28,0,28
2020Q2,Apr to Jun 2020,Uasin Gishu County,Kesses Sub County,Racecourse Ward,7,3,4
2020Q2,Apr to Jun 2020,Migori County,Suna West Sub County,Ragana-oruba Ward,61,2,59
2020Q2,Apr to Jun 2020,Kisumu County,Kisumu Central Sub County,Railways Ward,9,0,9
2020Q2,Apr to Jun 2020,Kwale County,Msambweni Sub County,Ramisi Ward,40,2,38
2020Q2,Apr to Jun 2020,Baringo County,Koibatek Sub County,Ravine Ward,45,0,45
2020Q2,Apr to Jun 2020,Mandera County,Mandera North Sub County,Rhamu Dimtu Ward,4,3,1
2020Q2,Apr to Jun 2020,Mandera County,Mandera North Sub County,Rhamu Ward,0,0,0
2020Q2,Apr to Jun 2020,Nakuru County,Nakuru West Sub County,Rhoda Ward,31,1,30
2020Q2,Apr to Jun 2020,Kiambu County,Kiambu Town Sub County,Riabai Ward,8,0,8
2020Q2,Apr to Jun 2020,Kisii County,Bonchari Sub County,Riana Ward,32,1,31
2020Q2,Apr to Jun 2020,Baringo County,East Pokot Sub County,Ribkwo Ward,35,1,34
2020Q2,Apr to Jun 2020,Nyamira County,Masaba North Sub County,Rigoma Ward,76,11,65
2020Q2,Apr to Jun 2020,Nairobi County,Dagoretti South Sub County,Riruta Ward,51,0,51
